timestamp,hr,spo2,temp,acc_x,acc_y,acc_z
14:49:03,72,97,34.62,0.98,-0.02,0.22,4.5
14:49:03,69,97,34.67,0.98,-0.02,0.21,4.5
14:49:03,72,98,34.44,0.99,-0.02,0.22,4.5
14:49:03,70,97,34.62,0.98,-0.01,0.21,4.5
14:49:03,69,97,34.62,0.99,-0.02,0.21,4.5
14:49:03,69,97,34.48,0.99,-0.01,0.21,4.5
14:49:03,69,98,34.72,0.99,-0.01,0.21,4.5
14:49:03,70,98,34.72,0.99,-0.01,0.21,4.5
14:49:03,69,98,34.48,1.0,-0.02,0.21,4.5
14:49:03,68,98,34.62,0.98,-0.02,0.21,4.5
14:49:03,68,97,34.53,0.99,-0.02,0.21,4.5
14:49:03,67,97,34.48,0.99,-0.02,0.22,4.5
14:49:03,69,99,34.48,0.98,-0.02,0.22,4.5
14:49:03,68,98,34.72,0.98,-0.02,0.22,4.5
14:49:03,70,97,34.81,0.98,-0.02,0.21,4.5
14:49:03,70,97,34.72,0.98,-0.03,0.22,4.5
14:49:03,68,99,34.48,0.99,-0.02,0.22,4.5
14:49:03,69,97,34.48,0.98,-0.03,0.21,4.5
14:49:04,67,97,34.72,0.99,-0.02,0.22,4.5
14:49:04,66,98,34.53,0.98,-0.02,0.21,4.5
14:49:04,66,97,34.53,0.99,-0.02,0.21,4.5
14:49:04,67,98,34.67,0.98,-0.02,0.21,4.5
14:49:04,68,98,34.72,0.98,-0.02,0.22,4.5
14:49:04,68,99,34.62,0.99,-0.02,0.21,4.5
14:49:04,68,97,34.62,0.99,-0.02,0.22,4.5
14:49:04,67,99,34.48,0.99,-0.02,0.22,4.5
14:49:04,66,98,34.53,0.99,-0.02,0.21,4.5
14:49:04,66,98,34.72,0.99,-0.02,0.21,4.5
14:49:04,66,97,34.48,0.99,-0.02,0.22,4.5
14:49:04,67,97,34.34,0.99,-0.02,0.21,4.5
14:49:04,66,97,34.62,0.99,-0.03,0.2,4.5
14:49:04,67,99,34.48,0.99,-0.02,0.21,4.5
14:49:04,68,97,34.53,0.99,-0.03,0.21,4.5
14:49:04,67,97,34.48,0.99,-0.02,0.21,4.5
